Date,Mean maximum (ºC),Mean(ºC),Mean minimum(ºC),Mean relative humidity (%),Insolation duration (hour),Total rainfall (mm)
2000/1/4,21.9,18.3,16.6,80,2.6,0
2000/1/5,22.3,19.1,16.4,82,7.6,0
2000/1/6,25.8,20.7,18.3,86,8.3,0
2000/1/7,20.8,18,16.2,88,0.5,0.01
2000/1/8,21.1,18,15.6,82,8.5,0
2000/1/9,22.1,18.9,16.6,85,0.8,0
2000/1/10,23.1,19.1,16.8,87,2,0
2000/1/11,20.4,18.7,17.5,89,0.1,0.01
2000/1/12,22.7,20.4,18.9,90,1.7,0.01
2000/1/13,20.4,18.2,16.2,84,0.2,0.01
2000/1/14,20.2,17.9,16.3,84,0.3,0
2000/1/15,20.9,18.4,16.4,86,0.5,0.01
2000/1/16,23.8,18.8,15.2,84,3.3,0.01
2000/1/17,15.8,13.1,10.5,78,0,0
2000/1/18,12,10.7,9.2,75,0,0.2
2000/1/19,14,11.4,7.9,58,7.1,0
2000/1/20,16.1,12.9,9.3,59,7.8,0
2000/1/21,15.2,14.1,12.7,68,0.2,0
2000/1/22,18.4,16.6,14.4,72,0,0.01
2000/1/23,19.9,17.7,15.6,94,0,18.6
2000/1/24,18.2,17.5,15.7,98,0,72.2
2000/1/25,16.1,11.5,9.1,82,0,8.4
2000/1/26,11,8.6,6.6,68,2.9,0
2000/1/27,11.3,8.8,6.4,52,9.4,0
2000/1/28,14.4,11,7.6,56,7.9,0
2000/1/29,16.9,13.7,10.9,58,8.8,0
2000/1/30,15.5,12.1,8.7,56,8.3,0
2000/1/31,11.7,9.8,8.6,70,0.2,0.4
2000/2/1,10.8,8.6,6.2,84,1.5,7.8
2000/2/2,11.9,9.8,6.8,85,0,2.2
2000/2/3,15.9,12.9,10.5,90,1,1.6
2000/2/4,18.7,15.4,12.9,86,0.9,0.01
2000/2/5,20.6,16.9,13.6,79,7.5,0.01
2000/2/6,17.7,14.6,10.6,71,9.5,0
2000/2/7,18.1,14.6,11.2,66,8.3,0
2000/2/8,17.4,13.4,9.8,59,7.4,0
2000/2/9,16.9,14.4,12.4,66,9.3,0
2000/2/10,18.8,15.6,13.1,80,4.6,0
2000/2/11,22.3,17.4,15,80,7.1,0
2000/2/12,19.4,16.4,14.3,87,7.7,0
2000/2/13,21.4,17.4,15.7,86,5,0
2000/2/14,23.6,18.2,15,86,5.6,0
2000/2/15,20.2,16.5,14.4,76,4.4,0
2000/2/16,18.6,15.8,13.9,72,6.8,0
2000/2/17,17.2,15.5,14.5,82,0,0
2000/2/18,17.8,16.3,15.1,86,0,0
2000/2/19,20.2,17.9,15.9,97,0,0.2
